date,hr,crsp,provo_riv,veyo
2026-07-21,21,1286,0,0
2026-07-21,22,1286,0,0
2026-07-21,23,1063,0,0
2026-07-21,24,735,0,0
2026-07-22,1,603,0,0
2026-07-22,2,460,0,0
2026-07-22,3,460,0,0
2026-07-22,4,460,0,0
2026-07-22,5,460,0,0
2026-07-22,6,460,0,0
2026-07-22,7,1090,0,0
2026-07-22,8,1100,0,0
2026-07-22,9,1100,0,0
2026-07-22,10,460,0,0
2026-07-22,11,460,0,0
2026-07-22,12,460,0,0
2026-07-22,13,438,0,0
2026-07-22,14,640,0,0
2026-07-22,15,579,0,0
2026-07-22,16,615,0,0
2026-07-22,17,1110,0,0
2026-07-22,18,1286,0,0
2026-07-22,19,1286,0,0
2026-07-22,20,1286,0,0
2026-07-22,21,1286,0,0
2026-07-22,22,1286,0,0
2026-07-22,23,1042,0,0
2026-07-22,24,735,0,0
2026-07-23,1,582,106,0
2026-07-23,2,460,106,0
2026-07-23,3,460,106,0
2026-07-23,4,460,106,0
2026-07-23,5,460,106,0
2026-07-23,6,460,106,0
2026-07-23,7,1069,106,0
2026-07-23,8,1100,106,0
2026-07-23,9,1100,106,0
2026-07-23,10,460,106,0
2026-07-23,11,460,106,0
2026-07-23,12,438,106,0
2026-07-23,13,438,106,0
2026-07-23,14,640,106,0
2026-07-23,15,579,211,0
2026-07-23,16,615,211,0
2026-07-23,17,1110,211,0
2026-07-23,18,1286,211,0
2026-07-23,19,1286,211,0
2026-07-23,20,1286,106,0
2026-07-23,21,1308,211,0
2026-07-23,22,1286,106,0
2026-07-23,23,1063,106,0
2026-07-23,24,735,106,0
2026-07-24,1,610,106,0
2026-07-24,2,460,106,0
2026-07-24,3,460,106,0
2026-07-24,4,460,106,0
2026-07-24,5,460,106,0
2026-07-24,6,460,106,0
2026-07-24,7,1090,106,0
2026-07-24,8,1100,106,0
2026-07-24,9,1100,106,0
2026-07-24,10,460,106,0
2026-07-24,11,460,106,0
2026-07-24,12,460,106,0
2026-07-24,13,460,106,0
2026-07-24,14,640,106,0
2026-07-24,15,601,211,0
2026-07-24,16,637,211,0
2026-07-24,17,1110,211,0
2026-07-24,18,1308,211,0
2026-07-24,19,1286,211,0
2026-07-24,20,1308,106,0
2026-07-24,21,1308,211,0
2026-07-24,22,1286,106,0
2026-07-24,23,1063,106,0
2026-07-24,24,735,106,0
2026-07-25,1,610,0,0
2026-07-25,2,460,0,0
2026-07-25,3,460,0,0
2026-07-25,4,460,0,0
2026-07-25,5,460,0,0
2026-07-25,6,460,0,0
2026-07-25,7,690,0,0
2026-07-25,8,939,0,0
2026-07-25,9,939,0,0
2026-07-25,10,460,0,0
2026-07-25,11,460,0,0
2026-07-25,12,460,0,0
2026-07-25,13,460,0,0
2026-07-25,14,481,0,0
2026-07-25,15,481,0,0
2026-07-25,16,437,0,0
2026-07-25,17,956,0,0
2026-07-25,18,907,0,0
2026-07-25,19,956,0,0
2026-07-25,20,956,0,0
2026-07-25,21,956,0,0
2026-07-25,22,616,0,0
2026-07-25,23,423,0,0
2026-07-25,24,446,0,0
2026-07-26,1,450,0,0
2026-07-26,2,460,0,0
2026-07-26,3,460,0,0
2026-07-26,4,460,0,0
2026-07-26,5,460,0,0
2026-07-26,6,460,0,0
2026-07-26,7,1339,0,0
2026-07-26,8,899,0,0
2026-07-26,9,899,0,0
2026-07-26,10,460,0,0
2026-07-26,11,460,0,0
2026-07-26,12,460,0,0
2026-07-26,13,438,0,0
2026-07-26,14,459,0,0
2026-07-26,15,459,0,0
2026-07-26,16,495,0,0
2026-07-26,17,486,0,0
2026-07-26,18,1046,0,0
2026-07-26,19,1206,0,0
2026-07-26,20,1206,0,0
2026-07-26,21,1206,0,0
2026-07-26,22,1206,0,0
2026-07-26,23,1104,0,0
2026-07-26,24,447,0,0
2026-07-27,1,613,0,0
2026-07-27,2,460,0,0
2026-07-27,3,460,0,0
2026-07-27,4,460,0,0
2026-07-27,5,460,0,0
2026-07-27,6,460,0,0
2026-07-27,7,1072,0,0
2026-07-27,8,1072,0,0
2026-07-27,9,1072,0,0
2026-07-27,10,460,0,0
2026-07-27,11,460,0,0
2026-07-27,12,460,0,0
2026-07-27,13,460,0,0
2026-07-27,14,613,0,0
2026-07-27,15,613,0,0
2026-07-27,16,613,0,0
2026-07-27,17,1103,0,0
2026-07-27,18,1286,0,0
2026-07-27,19,1286,0,0
2026-07-27,20,1286,0,0
2026-07-27,21,1286,0,0
2026-07-27,22,1286,0,0
2026-07-27,23,1072,0,0
2026-07-27,24,766,0,0
2026-07-28,1,613,0,0
2026-07-28,2,460,0,0
2026-07-28,3,460,0,0
2026-07-28,4,460,0,0
2026-07-28,5,460,0,0
2026-07-28,6,460,0,0
2026-07-28,7,1072,0,0
2026-07-28,8,1072,0,0
2026-07-28,9,1072,0,0
2026-07-28,10,460,0,0
2026-07-28,11,460,0,0
2026-07-28,12,460,0,0
2026-07-28,13,460,0,0
2026-07-28,14,613,0,0
2026-07-28,15,613,0,0
2026-07-28,16,613,0,0
2026-07-28,17,1103,0,0
2026-07-28,18,1286,0,0
2026-07-28,19,1286,0,0
2026-07-28,20,1286,0,0
2026-07-28,21,1286,0,0
2026-07-28,22,1286,0,0
2026-07-28,23,1072,0,0
2026-07-28,24,766,0,0
2026-07-29,1,613,0,0
2026-07-29,2,460,0,0
2026-07-29,3,460,0,0
2026-07-29,4,460,0,0
2026-07-29,5,460,0,0
2026-07-29,6,460,0,0
2026-07-29,7,1072,0,0
2026-07-29,8,1072,0,0
2026-07-29,9,1072,0,0
2026-07-29,10,460,0,0
2026-07-29,11,460,0,0
2026-07-29,12,460,0,0
2026-07-29,13,460,0,0
2026-07-29,14,613,0,0
2026-07-29,15,613,0,0
2026-07-29,16,613,0,0
2026-07-29,17,1103,0,0
2026-07-29,18,1286,0,0
2026-07-29,19,1286,0,0
2026-07-29,20,1286,0,0
2026-07-29,21,1286,0,0
2026-07-29,22,1286,0,0
2026-07-29,23,1072,0,0
2026-07-29,24,766,0,0
2026-07-30,1,613,0,0
2026-07-30,2,460,0,0
2026-07-30,3,460,0,0
2026-07-30,4,460,0,0
2026-07-30,5,460,0,0
2026-07-30,6,460,0,0
2026-07-30,7,1072,0,0
2026-07-30,8,1072,0,0
2026-07-30,9,1072,0,0
2026-07-30,10,460,0,0
2026-07-30,11,460,0,0
2026-07-30,12,460,0,0
2026-07-30,13,460,0,0
2026-07-30,14,613,0,0
2026-07-30,15,613,0,0
2026-07-30,16,613,0,0
2026-07-30,17,1103,0,0
2026-07-30,18,1286,0,0
2026-07-30,19,1286,0,0
2026-07-30,20,1286,0,0
2026-07-30,21,1286,0,0
2026-07-30,22,1286,0,0
2026-07-30,23,1072,0,0
2026-07-30,24,766,0,0
